Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
471;Aaron Wiggins;SG;25;OKC;19;0;12.5;1.9;3.1;0.627;0.5;1.2;0.455;1.4;1.9;0.73;0.712;0.8;1.1;0.714;0.5;1.6;2.1;0.7;0.5;0.1;0.5;1.1;5.2
472;Andrew Wiggins;SF;28;GSW;20;20;27.5;4.9;11.7;0.421;0.9;3.3;0.277;4;8.4;0.476;0.459;1.9;3;0.627;1.9;2.5;4.4;1.2;0.3;0.4;2;2.5;12.6
473;Lindell Wigginton;PG;25;MIL;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
474;Grant Williams;PF;25;DAL;19;19;28.8;3.3;7.7;0.422;2.3;5.6;0.406;1;2.2;0.463;0.568;1.1;1.6;0.645;1.2;2.6;3.7;1.7;0.3;0.6;0.9;2.6;9.8
475;Jalen Williams;PF;22;OKC;18;18;33.1;6.7;13;0.517;1.1;2.9;0.365;5.7;10.1;0.56;0.558;3.4;3.9;0.873;0.3;3.9;4.2;3.7;0.9;0.3;1.8;3;17.9
476;Jaylin Williams;C;21;OKC;16;0;12.9;1.4;3.9;0.355;0.8;2.3;0.324;0.6;1.6;0.4;0.452;0.6;0.6;0.9;0.6;2.9;3.4;1.4;0.3;0.1;0.4;1.7;4.1
477;Jeenathan Williams;SG;24;HOU;4;0;5.5;1.5;2.8;0.545;0;0.5;0;1.5;2.3;0.667;0.545;0.3;0.5;0.5;0;0;0;0.5;0.3;0;0;0.5;3.3
478;Kenrich Williams;PF;29;OKC;11;0;15.8;2.2;4.2;0.522;0.9;2;0.455;1.3;2.2;0.583;0.63;0.3;0.9;0.3;0.7;2.1;2.8;1.5;0.4;0.2;0.3;2;5.5
479;Mark Williams;C;22;CHO;19;19;26.7;5.2;7.9;0.649;0;0;0;5.2;7.9;0.649;0.649;2.4;3.4;0.719;4;5.7;9.7;1.2;0.8;1.1;0.9;2.6;12.7
480;Patrick Williams;PF;22;CHI;23;13;25.3;3.2;7.3;0.432;1;3.1;0.338;2.1;4.3;0.5;0.503;1.2;1.7;0.711;1.1;3;4.2;1.3;1;1;1.2;1.6;8.6
481;Robert Williams;C;26;POR;6;0;19.8;2.8;4.3;0.654;0;0;0;2.8;4.3;0.654;0.654;1.2;1.5;0.778;1.8;4.5;6.3;0.8;1.2;1.2;1.2;2.8;6.8
482;Vince Williams Jr.;SG;23;MEM;13;0;14.8;1.3;3.2;0.415;0.8;2.5;0.333;0.5;0.6;0.75;0.549;1;1.2;0.867;0.5;2.8;3.2;1.2;0.3;0.5;0.5;1.9;4.5
483;Ziaire Williams;SF;22;MEM;19;8;20.2;2.8;7.2;0.397;1.2;3.4;0.354;1.6;3.7;0.437;0.482;1.1;1.3;0.875;0.6;3.4;4.1;1.2;0.5;0.3;1.2;1.8;8
484;Zion Williamson;PF;23;NOP;19;19;30.9;8.8;15.3;0.574;0.1;0.3;0.333;8.7;15;0.579;0.577;4.5;7.1;0.642;1.9;3.7;5.6;4.8;1.1;0.3;2.7;2.6;22.2
485;Jalen Wilson;PF;23;BRK;2;0;3.5;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0;0;0.5;0;0;0
486;Dylan Windler;SF;27;NYK;3;0;2.3;0.3;0.7;0.5;0.3;0.7;0.5;0;0;0;0.75;0;0;0;0;0.3;0.3;0.3;0;0;0;0.3;1
487;James Wiseman;C;22;DET;12;0;11.3;2.2;3.3;0.65;0;0.1;0;2.2;3.3;0.667;0.65;0.7;1.3;0.533;1.1;2.1;3.2;0.3;0.1;0.4;0.8;1.8;5
488;Christian Wood;PF;28;LAL;22;1;19.7;2.4;5.4;0.445;0.6;2.4;0.264;1.8;3;0.591;0.504;1.4;2;0.689;1;4.9;5.9;0.9;0.2;0.5;1.3;1.7;6.9
489;Delon Wright;PG;31;WAS;8;0;17.6;1.4;3.8;0.367;0.5;1.4;0.364;0.9;2.4;0.368;0.433;1.8;2;0.875;0.4;2.1;2.5;4.4;1.6;0.1;0.5;0.8;5
490;Thaddeus Young;PF;35;TOR;3;0;3.3;0.7;1.3;0.5;0;0;0;0.7;1.3;0.5;0.5;0;0.7;0;0.3;0.7;1;1;0;0;0.3;0;1.3
491;Trae Young;PG;25;ATL;19;19;36.1;8.3;20.1;0.412;3.1;8.7;0.352;5.2;11.4;0.458;0.488;7.6;8.8;0.868;0.7;2.1;2.8;10.6;1.5;0.1;3.8;1.5;27.2
492;Omer Yurtseven;C;25;UTA;15;6;12.7;2.1;3.9;0.552;0.2;0.9;0.231;1.9;3;0.644;0.578;0.4;0.5;0.75;1.6;3.4;5;0.8;0.2;0.5;0.9;1.7;4.9
493;Cody Zeller;C;31;NOP;19;0;9.7;0.5;1.7;0.303;0;0.1;0;0.5;1.7;0.313;0.303;0.7;1.3;0.542;1.2;1.8;3;1;0.2;0.1;0.3;1.2;1.7
494;Ivica Zubac;C;26;LAC;21;21;26.6;5.1;8.2;0.622;0;0;0;5.1;8.2;0.622;0.622;1.8;3;0.594;3.2;6;9.1;0.9;0.2;1.5;1.2;2.8;12
